央视频道,#genre#
CCTV1高清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226338/1.m3u8#http://111.13.111.167/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226154/1.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226589/index.m3u8#http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000311/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226541/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226154/index.m3u8#http://111.13.111.167/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226338/1.m3u8
CCTV2高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000317/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226138/index.m3u8
CCTV-3高清,http://112.17.40.145/PLTV/88888888/224/3221226485/index.m3u8#http://223.110.241.203:6610/gitv/live1/G_CCTV-3-HQ/G_CCTV-3-HQ/#http://112.17.40.145/PLTV/88888888/224/3221226431/index.m3u8#http://39.137.76.32:8089/00/SNM/CHANNEL00000003/index.m3u8
CCTV4高清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226314/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226335/1.m3u8#http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000320/index.m3u8#http://39.137.76.32:8089/00/SNM/CHANNEL00000004/index.m3u8
CCTV-5高清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226340/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226257/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226258/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226259/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226260/1.m3u8
CCTV5+高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000316/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226406/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226400/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226166/index.m3u8
CCTV-6高清,http://112.17.40.145/PLTV/88888888/224/3221226487/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226433/index.m3u8#http://223.110.241.203:6610/gitv/live1/G_CCTV-6-HQ/G_CCTV-6-HQ/#http://39.137.76.32:8089/00/SNM/CHANNEL00000006/index.m3u8
CCTV7高清,http://112.17.40.145/PLTV/88888888/224/3221226470/index.m3u8#http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000318/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226122/index.m3u8
CCTV-8高清,http://112.17.40.145/PLTV/88888888/224/3221226330/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226493/index.m3u8#http://223.110.242.130:6610/cntv/live1/cctv-8/cctv-8?&virtualDomain=001.live_hls.zte.com#http://39.137.76.32:8089/00/SNM/CHANNEL00000008/index.m3u8
CCTV9高清,http://112.17.40.145/PLTV/88888888/224/3221226561/index.m3u8#http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000319/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226156/index.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225865/1.m3u8
